YEAR,HR,DT,MN,DPT,WBT,DBT,RH
2010,0,1,1,14.8,17.4,21.2,67.0
2010,0,2,1,17.8,19.4,22.0,77.0
2010,0,3,1,20.0,21.4,24.0,78.0
2010,0,4,1,16.1,18.6,22.4,68.0
2010,0,5,1,17.8,18.4,19.4,90.0
2010,0,6,1,16.7,18.4,21.0,77.0
2010,0,7,1,14.0,18.0,23.8,54.0
2010,0,8,1,15.7,18.6,23.0,64.0
2010,0,9,1,15.4,16.6,18.4,82.0
2010,0,10,1,15.4,16.6,18.4,82.0
2010,0,11,1,17.2,18.6,20.8,80.0
2010,0,12,1,22.0,23.0,25.0,84.0
2010,0,13,1,17.0,19.0,22.2,72.0
2010,0,14,1,10.2,13.0,16.2,67.0
2010,0,15,1,15.1,17.4,20.8,70.0
2010,0,16,1,17.4,20.2,24.8,64.0
2010,0,17,1,17.2,18.0,19.2,88.0
2010,0,18,1,14.3,15.6,17.4,82.0
2010,0,19,1,16.1,17.2,18.8,84.0
2010,0,20,1,14.3,16.6,19.8,71.0
2010,0,21,1,13.4,17.0,22.0,58.0
2010,0,22,1,14.6,16.6,19.4,74.0
2010,0,23,1,14.6,15.8,17.4,84.0
2010,0,24,1,18.4,19.6,21.6,82.0
2010,0,25,1,15.0,16.0,17.4,86.0
2010,0,26,1,10.1,15.0,20.8,50.0
2010,0,27,1,13.0,16.0,20.0,64.0
2010,0,28,1,13.8,16.2,19.4,70.0
2010,0,29,1,13.4,15.4,18.0,75.0
2010,0,30,1,14.1,16.4,19.6,70.0
2010,0,31,1,15.6,17.0,19.0,81.0
2010,12,1,1,13.4,17.4,23.0,55.0
2010,12,2,1,16.6,19.4,23.8,64.0
2010,12,3,1,20.2,21.8,24.8,76.0
2010,12,4,1,17.2,19.2,22.4,72.0
2010,12,5,1,17.6,18.6,20.2,85.0
2010,12,6,1,15.7,18.8,23.6,61.0
2010,12,7,1,13.8,18.0,24.0,53.0
2010,12,8,1,14.0,18.0,23.8,54.0
2010,12,9,1,13.7,17.4,22.6,57.0
2010,12,10,1,13.8,17.4,22.4,58.0
2010,12,11,1,17.2,19.2,22.4,72.0
2010,12,12,1,21.5,22.6,24.8,82.0
2010,12,13,1,14.1,17.0,21.0,65.0
2010,12,14,1,10.8,13.2,16.0,71.0
2010,12,15,1,12.5,17.4,24.0,49.0
2010,12,16,1,17.4,20.4,25.4,61.0
2010,12,17,1,16.9,18.4,20.8,78.0
2010,12,18,1,18.5,20.0,22.6,78.0
2010,12,19,1,16.7,17.6,19.0,86.0
2010,12,20,1,13.8,17.4,22.4,58.0
2010,12,21,1,12.5,17.4,24.0,49.0
2010,12,22,1,13.7,17.0,21.6,61.0
2010,12,23,1,14.1,16.6,20.0,69.0
2010,12,24,1,16.6,18.0,20.2,80.0
2010,12,25,1,13.9,16.0,18.8,73.0
2010,12,26,1,9.5,16.0,23.8,40.0
2010,12,27,1,11.5,17.0,24.2,45.0
2010,12,28,1,13.8,17.0,21.4,62.0
2010,12,29,1,14.2,16.2,19.0,94.0
2010,12,30,1,14.0,17.4,22.0,60.0
2010,12,31,1,15.9,17.6,20.2,76.0
2010,24,1,1,14.6,20.4,29.4,41.0
2010,24,2,1,15.4,21.4,31.2,39.0
2010,24,3,1,19.5,23.0,29.6,55.0
2010,24,4,1,17.1,21.0,27.6,53.0
2010,24,5,1,16.8,21.0,28.0,51.0
2010,24,6,1,16.4,21.2,29.2,46.0
2010,24,7,1,14.2,20.4,30.0,38.0
2010,24,8,1,11.9,19.4,30.0,33.0
2010,24,9,1,12.7,19.4,29.0,37.0
2010,24,10,1,13.8,19.8,28.8,40.0
2010,24,11,1,15.5,21.4,31.0,39.0
2010,24,12,1,19.4,22.8,29.2,55.0
2010,24,13,1,10.4,17.8,27.4,35.0
2010,24,14,1,9.3,17.2,27.0,33.0
2010,24,15,1,15.3,21.0,30.2,40.0
2010,24,16,1,18.7,23.0,31.0,48.0
2010,24,17,1,14.8,21.2,31.4,37.0
2010,24,18,1,14.5,20.0,28.4,43.0
2010,24,19,1,15.9,21.0,29.4,44.0
2010,24,20,1,12.9,19.4,29.4,36.0
2010,24,21,1,10.4,19.4,31.6,27.0
2010,24,22,1,10.0,18.8,30.4,28.0
2010,24,23,1,12.1,19.4,29.8,33.0
2010,24,24,1,14.9,20.4,29.0,42.0
2010,24,25,1,11.3,19.0,29.6,32.0
2010,24,26,1,12.1,19.8,30.8,32.0
2010,24,27,1,12.4,19.4,29.4,35.0
2010,24,28,1,10.0,18.8,30.4,28.0
2010,24,29,1,11.5,19.4,30.4,31.0
2010,24,30,1,11.0,19.4,31.0,29.0
2010,24,31,1,13.0,20.4,31.4,33.0
2010,36,1,1,17.7,23.0,32.6,41.0
2010,36,2,1,17.6,23.4,34.4,36.0
2010,36,3,1,21.3,24.6,31.4,55.0
2010,36,4,1,19.0,22.4,28.6,56.0
2010,36,5,1,19.8,23.4,30.4,53.0
2010,36,6,1,16.6,22.4,32.4,39.0
2010,36,7,1,11.5,20.4,33.2,27.0
2010,36,8,1,15.5,21.6,31.6,38.0
2010,36,9,1,13.2,20.4,31.2,33.0
2010,36,10,1,14.4,21.4,32.6,33.0
2010,36,11,1,20.3,23.8,30.8,53.0
2010,36,12,1,21.0,23.8,29.4,61.0
2010,36,13,1,10.4,18.2,28.4,33.0
2010,36,14,1,14.6,20.4,29.4,41.0
2010,36,15,1,18.3,23.0,31.6,45.0
2010,36,16,1,12.8,21.0,33.4,29.0
2010,36,17,1,11.0,20.0,32.6,27.0
2010,36,18,1,18.2,22.4,30.0,49.0
2010,36,19,1,14.0,21.4,33.0,33.0
2010,36,20,1,12.5,20.8,33.2,28.0
2010,36,21,1,14.5,21.4,32.4,34.0
2010,36,22,1,16.2,22.0,31.8,39.0
2010,36,23,1,14.8,21.2,31.4,37.0
2010,36,24,1,16.6,21.8,30.6,43.0
2010,36,25,1,16.9,22.2,31.4,42.0
2010,36,26,1,12.8,21.2,34.0,28.0
2010,36,27,1,15.9,21.0,29.4,44.0
2010,36,28,1,9.4,19.4,32.6,24.0
2010,36,29,1,14.7,21.2,31.6,36.0
2010,36,30,1,11.9,21.0,34.4,26.0
2010,36,31,1,18.2,22.6,30.6,48.0
2010,48,1,1,16.9,21.4,29.0,48.0
2010,48,2,1,19.6,23.2,30.0,54.0
2010,48,3,1,19.6,22.0,26.4,66.0
2010,48,4,1,17.7,21.0,26.6,58.0
2010,48,5,1,18.7,22.0,28.0,57.0
2010,48,6,1,19.9,23.0,29.0,58.0
2010,48,7,1,18.8,22.4,29.0,54.0
2010,48,8,1,17.7,21.4,27.8,54.0
2010,48,9,1,13.3,20.0,30.0,36.0
2010,48,10,1,17.6,22.0,29.8,48.0
2010,48,11,1,19.4,23.0,29.8,54.0
2010,48,12,1,20.2,22.6,27.2,65.0
2010,48,13,1,10.4,17.4,26.4,37.0
2010,48,14,1,15.7,20.4,28.0,47.0
2010,48,15,1,17.7,21.8,29.0,51.0
2010,48,16,1,18.8,23.4,32.0,46.0
2010,48,17,1,12.4,20.0,31.0,32.0
2010,48,18,1,18.2,21.6,27.6,57.0
2010,48,19,1,14.3,20.6,30.4,38.0
2010,48,20,1,13.2,20.2,30.6,35.0
2010,48,21,1,18.4,22.2,29.0,53.0
2010,48,22,1,16.1,21.2,29.6,44.0
2010,48,23,1,11.8,19.0,29.0,35.0
2010,48,24,1,17.1,21.2,28.2,51.0
2010,48,25,1,14.2,20.0,28.8,41.0
2010,48,26,1,12.9,20.0,30.4,34.0
2010,48,27,1,14.3,20.4,29.8,39.0
2010,48,28,1,13.6,20.0,29.6,43.0
2010,48,29,1,14.6,20.4,29.4,41.0
2010,48,30,1,15.5,20.8,29.4,43.0
2010,48,31,1,14.8,21.0,30.8,38.0
2010,60,1,1,17.0,20.6,26.6,56.0
2010,60,2,1,20.4,22.8,27.4,66.0
2010,60,3,1,18.9,21.4,25.8,66.0
2010,60,4,1,19.4,21.2,24.4,74.0
2010,60,5,1,20.4,22.0,25.0,76.0
2010,60,6,1,18.1,21.0,26.0,62.0
2010,60,7,1,18.4,21.0,25.6,64.0
2010,60,8,1,15.5,19.4,25.4,54.0
2010,60,9,1,16.3,20.0,26.0,55.0
2010,60,10,1,17.0,20.6,26.6,56.0
2010,60,11,1,21.9,23.4,26.4,77.0
2010,60,12,1,18.7,21.2,25.6,66.0
2010,60,13,1,8.8,15.4,23.0,40.0
2010,60,14,1,15.0,19.0,25.0,54.0
2010,60,15,1,18.0,21.2,26.8,58.0
2010,60,16,1,18.3,21.6,27.4,58.0
2010,60,17,1,12.6,18.6,27.0,41.0
2010,60,18,1,15.8,19.6,25.6,55.0
2010,60,19,1,16.1,20.2,26.8,52.0
2010,60,20,1,14.5,19.6,27.4,45.0
2010,60,21,1,13.8,19.0,26.6,45.0
2010,60,22,1,18.9,21.4,25.8,66.0
2010,60,23,1,20.2,22.0,25.4,73.0
2010,60,24,1,16.7,20.0,25.4,58.0
2010,60,25,1,19.9,21.6,24.8,74.0
2010,60,26,1,15.1,19.6,26.6,49.0
2010,60,27,1,14.3,19.4,27.0,46.0
2010,60,28,1,10.7,17.6,26.6,37.0
2010,60,29,1,15.2,19.6,26.4,50.0
2010,60,30,1,14.6,19.6,27.2,46.0
2010,60,31,1,15.9,20.0,26.6,52.0
2010,72,1,1,17.9,20.0,23.6,70.0
2010,72,2,1,21.1,22.4,25.0,79.0
2010,72,3,1,18.4,20.6,24.4,69.0
2010,72,4,1,19.7,20.8,22.8,83.0
2010,72,5,1,19.3,20.2,21.8,86.0
2010,72,6,1,18.2,20.0,23.0,75.0
2010,72,7,1,17.9,20.0,23.6,70.0
2010,72,8,1,16.4,18.6,22.0,71.0
2010,72,9,1,18.1,19.8,22.6,76.0
2010,72,10,1,18.1,20.0,23.2,73.0
2010,72,11,1,20.4,21.8,24.4,78.0
2010,72,12,1,19.5,21.2,24.2,75.0
2010,72,13,1,11.2,15.2,20.6,55.0
2010,72,14,1,16.2,18.2,21.2,73.0
2010,72,15,1,19.1,21.0,24.4,72.0
2010,72,16,1,18.1,20.0,23.2,73.0
2010,72,17,1,15.3,18.0,22.0,66.0
2010,72,18,1,17.5,19.2,22.0,75.0
2010,72,19,1,14.9,18.4,23.6,58.0
2010,72,20,1,16.5,19.4,24.0,63.0
2010,72,21,1,16.0,18.4,22.0,69.0
2010,72,22,1,17.5,19.4,22.6,73.0
2010,72,23,1,19.2,20.6,23.0,79.0
2010,72,24,1,16.2,18.2,21.2,73.0
2010,72,26,1,14.7,18.0,22.8,60.0
2010,72,27,1,13.5,17.4,22.8,56.0
2010,72,28,1,12.0,16.0,21.2,55.0
2010,72,29,1,16.5,19.0,23.0,67.0
2010,72,30,1,16.5,19.0,23.0,67.0
2010,72,31,1,15.4,18.2,22.4,64.0
2010,84,1,1,16.4,18.0,20.4,78.0
2010,84,2,1,17.1,19.0,22.0,74.0
2010,84,3,1,20.0,21.4,24.0,78.0
2010,84,4,1,18.0,19.4,21.8,79.0
2010,84,5,1,18.0,19.0,20.6,85.0
2010,84,6,1,18.8,19.4,20.4,91.0
2010,84,7,1,15.2,18.8,24.2,57.0
2010,84,8,1,17.5,19.4,22.6,73.0
2010,84,9,1,16.4,17.8,20.0,80.0
2010,84,10,1,16.1,17.6,19.8,79.0
2010,84,11,1,18.0,19.4,21.8,79.0
2010,84,12,1,21.8,22.8,24.8,83.0
2010,84,13,1,18.4,20.0,22.8,76.0
2010,84,14,1,11.5,14.6,18.4,64.0
2010,84,15,1,16.0,17.6,20.0,78.0
2010,84,16,1,18.2,20.2,23.6,72.0
2010,84,17,1,17.8,19.0,21.0,82.0
2010,84,18,1,14.6,16.2,18.4,79.0
2010,84,19,1,16.6,17.8,19.6,83.0
2010,84,20,1,14.6,17.0,20.4,69.0
2010,84,21,1,15.4,17.6,20.8,71.0
2010,84,22,1,15.6,17.4,20.0,76.0
2010,84,23,1,16.3,17.6,19.6,81.0
2010,84,24,1,17.9,18.8,20.2,87.0
2010,84,25,1,16.3,17.2,18.6,86.0
2010,84,26,1,14.6,16.0,18.0,80.0
2010,84,27,1,14.9,17.0,20.0,72.0
2010,84,28,1,13.7,16.8,21.0,63.0
2010,84,29,1,12.1,15.0,18.6,66.0
2010,84,30,1,15.6,17.4,20.0,76.0
2010,84,31,1,16.4,18.0,20.4,78.0
2010,0,1,2,17.1,18.4,20.4,82.0
2010,0,2,2,18.9,20.4,23.0,78.0
2010,0,3,2,17.8,18.4,19.4,90.0
2010,0,4,2,16.6,17.4,18.6,88.0
2010,0,5,2,17.4,18.4,20.0,85.0
2010,0,6,2,19.5,20.2,21.4,89.0
2010,0,7,2,16.7,18.4,21.0,77.0
2010,0,8,2,17.7,18.6,20.0,87.0
2010,0,9,2,20.0,20.4,21.2,93.0
2010,0,10,2,21.1,21.8,23.2,88.0
2010,0,11,2,16.3,18.0,20.6,76.0
2010,0,12,2,18.3,19.0,20.2,89.0
2010,0,13,2,17.1,18.0,19.4,86.0
2010,0,14,2,15.3,18.0,22.0,66.0
2010,0,15,2,15.2,18.4,23.2,61.0
2010,0,16,2,10.4,15.4,21.4,50.0
2010,0,17,2,15.2,17.8,21.6,67.0
2010,0,18,2,13.7,15.4,17.9,78.0
2010,0,19,2,16.5,17.4,18.8,86.0
2010,0,20,2,17.7,19.0,21.2,80.0
2010,0,21,2,18.8,19.4,20.4,91.0
2010,0,22,2,20.7,21.2,22.2,91.0
2010,0,23,2,16.1,17.4,19.4,81.0
2010,0,24,2,18.7,19.2,20.0,92.0
2010,0,25,2,17.8,18.8,20.4,85.0
2010,0,26,2,19.2,20.2,22.0,84.0
2010,0,27,2,17.1,18.0,19.4,86.0
2010,0,28,2,15.8,17.4,19.8,78.0
2010,12,1,2,18.0,19.6,22.2,77.0
2010,12,2,2,16.4,18.6,22.0,71.0
2010,12,3,2,18.8,20.0,22.0,82.0
2010,12,4,2,19.0,20.0,21.8,84.0
2010,12,5,2,17.6,18.4,19.6,88.0
2010,12,6,2,19.7,20.6,22.2,86.0
2010,12,7,2,17.5,19.6,23.0,71.0
2010,12,8,2,18.6,19.8,21.8,82.0
2010,12,9,2,21.6,22.0,22.8,93.0
2010,12,10,2,20.5,21.4,23.0,86.0
2010,12,11,2,16.5,18.8,22.4,69.0
2010,12,12,2,18.6,20.0,22.4,79.0
2010,12,13,2,18.5,19.4,21.0,86.0
2010,12,14,2,13.7,17.4,22.6,57.0
2010,12,15,2,15.5,18.2,22.2,66.0
2010,12,16,2,10.2,15.8,22.6,45.0
2010,12,17,2,12.3,16.8,22.8,51.0
2010,12,18,2,14.1,16.6,20.0,69.0
2010,12,19,2,16.2,18.2,21.2,73.0
2010,12,20,2,17.4,18.4,20.0,85.0
2010,12,21,2,19.4,20.0,21.0,91.0
2010,12,22,2,22.6,23.2,24.4,90.0
2010,12,23,2,19.8,20.8,22.6,84.0
2010,12,24,2,18.6,20.0,22.4,79.0
2010,12,25,2,17.8,19.4,22.0,77.0
2010,12,26,2,17.8,19.4,22.0,77.0
2010,12,27,2,18.0,19.6,22.2,77.0
2010,12,28,2,15.8,19.0,24.0,60.0
2010,24,1,2,17.3,22.0,30.2,46.0
2010,24,2,2,17.6,22.0,29.8,48.0
2010,24,3,2,18.7,22.2,28.6,55.0
2010,24,4,2,18.9,22.4,28.8,55.0
2010,24,5,2,20.6,23.4,29.0,60.0
2010,24,6,2,20.9,24.4,31.6,53.0
2010,24,7,2,20.9,24.4,31.6,53.0
2010,24,8,2,23.7,25.4,29.2,72.0
2010,24,9,2,22.2,24.0,27.8,72.0
2010,24,10,2,22.1,24.0,28.0,70.0
2010,24,11,2,18.0,21.4,27.4,56.0
2010,24,12,2,17.1,20.8,27.0,55.0
2010,24,13,2,15.5,20.4,28.2,46.0
2010,24,14,2,8.7,18.0,29.6,27.0
2010,24,15,2,8.4,17.2,27.8,30.0
2010,24,16,2,5.7,17.4,30.6,21.0
2010,24,17,2,5.2,17.4,31.0,20.0
2010,24,18,2,15.5,21.4,31.0,39.0
2010,24,19,2,14.6,20.6,30.0,39.0
2010,24,20,2,16.4,21.6,30.4,43.0
2010,24,21,2,21.2,24.0,29.6,61.0
2010,24,22,2,16.0,21.4,30.4,42.0
2010,24,23,2,21.8,24.2,29.2,64.0
2010,24,24,2,16.8,21.0,28.0,51.0
2010,24,25,2,17.6,21.4,28.0,53.0
2010,24,26,2,17.4,22.2,30.6,45.0
2010,24,27,2,12.9,21.4,34.4,27.0
2010,24,28,2,12.2,21.4,35.2,25.0
2010,36,1,2,18.4,23.0,31.4,46.0
2010,36,2,2,21.4,24.4,30.6,58.0
2010,36,3,2,20.1,23.2,29.2,58.0
2010,36,4,2,21.6,24.0,29.0,64.0
2010,36,5,2,22.9,25.2,30.2,65.0
2010,36,6,2,23.5,26.4,33.0,58.0
2010,36,7,2,22.1,26.0,34.6,48.0
2010,36,8,2,24.9,26.6,30.6,72.0
2010,36,9,2,21.7,24.4,30.0,61.0
2010,36,10,2,20.0,23.0,28.8,59.0
2010,36,11,2,18.8,22.2,28.4,56.0
2010,36,12,2,18.7,22.4,29.2,53.0
2010,36,13,2,15.4,21.2,30.6,40.0
2010,36,14,2,15.5,21.4,31.0,39.0
2010,36,15,2,13.5,20.6,31.4,34.0
2010,36,16,2,12.1,20.0,31.4,31.0
2010,36,17,2,8.9,19.0,32.0,24.0
2010,36,18,2,13.9,21.0,32.0,33.0
2010,36,19,2,12.3,20.0,31.2,31.0
2010,36,20,2,15.0,21.4,31.8,36.0
2010,36,21,2,19.4,23.6,31.6,48.0
2010,36,22,2,19.3,23.2,30.6,51.0
2010,36,23,2,18.8,23.0,30.8,49.0
2010,36,24,2,18.4,22.0,28.4,55.0
2010,36,25,2,19.6,22.8,28.8,58.0
2010,36,26,2,21.5,25.0,32.4,53.0
2010,36,27,2,18.6,24.8,36.8,35.0
2010,36,28,2,18.2,24.2,35.6,36.0
2010,48,1,2,20.6,23.4,29.0,60.0
2010,48,2,2,19.4,22.6,28.6,57.0
2010,48,3,2,19.3,22.0,27.0,63.0
2010,48,4,2,20.3,22.6,27.0,67.0
2010,48,5,2,23.3,24.8,28.0,76.0
2010,48,6,2,20.8,24.2,31.0,55.0
2010,48,7,2,21.5,24.6,31.0,57.0
2010,48,8,2,24.6,25.6,28.0,82.0
2010,48,9,2,20.9,23.4,28.4,64.0
2010,48,10,2,18.7,21.2,25.6,66.0
2010,48,11,2,17.9,21.0,26.4,59.0
2010,48,12,2,17.1,21.2,28.2,51.0
2010,48,13,2,14.4,20.0,28.6,42.0
2010,48,14,2,9.4,17.8,28.4,30.0
2010,48,15,2,13.0,19.2,28.2,39.0
2010,48,16,2,11.8,19.2,29.6,33.0
2010,48,17,2,14.1,20.0,29.0,40.0
2010,48,18,2,16.1,21.4,30.2,43.0
2010,48,19,2,14.8,20.2,28.8,43.0
2010,48,20,2,19.7,23.4,30.6,52.0
2010,48,21,2,14.3,20.4,29.8,39.0
2010,48,22,2,11.9,19.2,29.4,34.0
2010,48,23,2,19.7,22.6,28.0,61.0
2010,48,24,2,16.6,20.4,26.6,54.0
2010,48,25,2,20.4,22.8,27.4,66.0
2010,48,26,2,20.7,23.4,28.8,62.0
2010,48,27,2,14.0,21.4,33.0,33.0
2010,48,28,2,13.9,21.6,33.8,30.0
2010,60,1,2,19.2,21.4,25.4,68.0
2010,60,2,2,20.4,22.0,25.0,76.0
2010,60,3,2,19.3,21.2,24.6,72.0
2010,60,4,2,20.0,21.6,24.6,75.0
2010,60,5,2,22.4,23.4,25.4,84.0
2010,60,6,2,20.9,23.0,27.2,68.0
2010,60,7,2,21.0,22.6,25.8,75.0
2010,60,8,2,22.9,23.8,25.8,84.0
2010,60,9,2,21.7,23.0,25.6,79.0
2010,60,10,2,16.9,19.6,24.0,64.0
2010,60,11,2,18.1,20.4,24.4,68.0
2010,60,12,2,17.9,20.4,24.6,66.0
2010,60,13,2,8.9,16.6,25.8,34.0
2010,60,14,2,11.8,17.6,25.4,43.0
2010,60,15,2,12.6,17.8,25.0,46.0
2010,60,16,2,10.4,17.4,26.4,37.0
2010,60,17,2,14.0,18.8,25.8,48.0
2010,60,18,2,18.1,21.0,26.0,62.0
2010,60,19,2,17.9,20.6,25.2,64.0
2010,60,20,2,18.5,21.2,26.0,63.0
2010,60,21,2,21.8,23.4,26.6,75.0
2010,60,22,2,20.5,22.4,26.0,72.0
2010,60,23,2,20.5,22.0,24.8,77.0
2010,60,24,2,15.5,18.8,23.8,60.0
2010,60,25,2,19.6,21.4,24.6,74.0
2010,60,26,2,19.5,22.0,26.6,65.0
2010,60,27,2,12.9,20.0,30.4,34.0
2010,60,28,2,12.5,19.8,30.4,33.0
2010,72,1,2,18.3,19.6,21.8,80.0
2010,72,2,2,18.5,19.6,21.4,81.0
2010,72,3,2,18.8,20.0,22.0,82.0
2010,72,4,2,18.4,19.6,21.6,82.0
2010,72,5,2,20.8,21.6,23.2,86.0
2010,72,6,2,17.9,19.6,22.4,76.0
2010,72,7,2,19.8,21.0,23.2,81.0
2010,72,8,2,21.6,22.4,24.0,86.0
2010,72,9,2,21.2,22.2,24.2,83.0
2010,72,10,2,15.2,18.4,23.2,61.0
2010,72,11,2,18.6,20.0,22.4,79.0
2010,72,12,2,19.2,20.6,23.0,79.0
2010,72,13,2,11.5,15.8,21.2,54.0
2010,72,14,2,13.1,17.2,22.8,54.0
2010,72,15,2,11.1,16.0,22.2,49.0
2010,72,16,2,11.8,16.6,22.8,50.0
2010,72,17,2,14.6,18.0,23.0,59.0
2010,72,18,2,18.1,19.4,21.6,80.0
2010,72,19,2,18.2,19.4,21.4,82.0
2010,72,20,2,18.5,19.6,21.4,84.0
2010,72,21,2,22.7,23.6,25.4,85.0
2010,72,22,2,18.8,20.8,24.4,71.0
2010,72,23,2,20.2,21.4,23.6,81.0
2010,72,24,2,18.7,20.2,22.8,78.0
2010,72,25,2,17.9,19.2,21.4,80.0
2010,72,26,2,18.4,19.8,22.2,79.0
2010,72,27,2,17.4,18.8,23.8,67.0
2010,72,28,2,15.0,19.0,25.0,54.0
2010,84,1,2,16.7,18.4,21.0,77.0
2010,84,2,2,19.3,20.4,22.4,83.0
2010,84,3,2,18.1,18.8,20.0,89.0
2010,84,4,2,17.6,18.4,19.6,88.0
2010,84,5,2,17.6,18.4,19.6,88.0
2010,84,6,2,19.8,20.4,21.4,91.0
2010,84,7,2,16.6,18.4,21.2,75.0
2010,84,8,2,18.2,19.4,21.4,82.0
2010,84,9,2,20.7,21.2,22.2,91.0
2010,84,10,2,21.3,22.2,24.0,85.0
2010,84,11,2,15.5,18.0,21.8,67.0
2010,84,12,2,18.2,19.2,20.8,85.0
2010,84,13,2,18.1,18.8,20.0,89.0
2010,84,14,2,12.6,15.4,19.0,66.0
2010,84,15,2,10.9,16.0,22.4,48.0
2010,84,16,2,12.3,15.0,18.4,68.0
2010,84,17,2,13.7,17.4,22.6,57.0
2010,84,18,2,14.2,16.4,19.4,72.0
2010,84,19,2,17.4,18.4,20.0,85.0
2010,84,20,2,17.4,18.4,20.0,85.0
2010,84,21,2,19.4,20.0,21.0,91.0
2010,84,22,2,21.5,22.0,23.0,91.0
2010,84,23,2,16.7,18.2,20.6,98.0
2010,84,24,2,18.7,19.4,20.6,89.0
2010,84,25,2,17.1,18.2,20.0,83.0
2010,84,26,2,17.8,19.4,22.0,77.0
2010,84,27,2,18.5,19.4,21.0,85.0
2010,84,28,2,15.1,17.6,21.2,68.0
2010,0,1,3,16.4,20.0,25.8,56.0
2010,0,2,3,19.9,20.8,22.4,86.0
2010,0,3,3,20.9,21.1,22.4,91.0
2010,0,4,3,19.8,20.6,22.0,88.0
2010,0,5,3,19.9,20.6,21.8,89.0
2010,0,6,3,20.2,21.0,22.4,88.0
2010,0,7,3,18.7,19.4,20.6,89.0
2010,0,8,3,20.0,21.2,23.4,81.0
2010,0,9,3,15.5,18.0,21.8,67.0
2010,0,10,3,16.7,19.0,22.6,69.0
2010,0,11,3,21.2,22.4,24.8,80.0
2010,0,12,3,22.4,23.4,25.4,84.0
2010,0,13,3,19.1,21.4,25.6,67.0
2010,0,14,3,21.8,22.6,24.2,86.0
2010,0,15,3,21.2,21.8,23.0,89.0
2010,0,16,3,19.9,20.6,21.8,89.0
2010,0,17,3,21.5,22.0,23.0,91.0
2010,0,18,3,22.7,23.6,25.4,85.0
2010,0,19,3,23.9,24.4,25.6,90.0
2010,0,20,3,24.7,25.4,27.0,87.0
2010,0,21,3,24.2,24.8,26.2,89.0
2010,0,22,3,20.0,21.0,22.8,84.0
2010,0,23,3,18.1,19.4,21.6,80.0
2010,0,24,3,20.2,21.0,22.4,88.0
2010,0,25,3,21.9,22.4,23.4,91.0
2010,0,26,3,22.5,23.0,24.0,91.0
2010,0,27,3,22.1,22.8,24.2,88.0
2010,0,28,3,21.6,22.4,24.0,86.0
2010,0,29,3,22.1,22.8,24.2,88.0
2010,0,30,3,20.2,21.0,22.4,88.0
2010,0,31,3,22.1,22.8,24.2,88.0
2010,12,1,3,18.3,20.2,23.4,73.0
2010,12,2,3,22.5,23.6,25.8,82.0
2010,12,3,3,21.8,22.6,24.2,86.0
2010,12,4,3,20.7,22.0,24.4,80.0
2010,12,5,3,20.7,22.0,24.4,80.0
2010,12,6,3,21.8,22.8,24.8,83.0
2010,12,7,3,19.8,21.0,23.2,81.0
2010,12,8,3,19.3,21.2,24.6,72.0
2010,12,9,3,16.3,18.6,22.2,69.0
2010,12,10,3,17.0,20.4,26.0,58.0
2010,12,11,3,22.7,24.2,27.4,75.0
2010,12,12,3,22.8,24.2,27.2,77.0
2010,12,13,3,20.0,22.4,27.0,65.0
2010,12,14,3,22.8,23.6,25.2,87.0
2010,12,15,3,21.5,22.6,24.8,82.0
2010,12,16,3,21.1,21.6,22.6,91.0
2010,12,17,3,23.0,23.6,24.8,90.0
2010,12,18,3,23.2,24.4,27.0,80.0
2010,12,19,3,24.0,25.4,28.6,76.0
2010,12,20,3,25.0,26.0,28.4,82.0
2010,12,21,3,24.7,25.4,27.0,87.0
2010,12,22,3,21.6,23.4,27.0,73.0
2010,12,23,3,20.0,22.2,26.4,68.0
2010,12,24,3,21.2,22.4,24.8,80.0
2010,12,25,3,23.2,24.0,25.8,85.0
2010,12,26,3,23.0,24.0,26.2,82.0
2010,12,27,3,22.6,23.6,25.6,84.0
2010,12,28,3,20.7,22.4,25.6,75.0
2010,12,29,3,23.2,24.4,27.0,80.0
2010,12,30,3,22.1,23.0,26.4,79.0
2010,12,31,3,22.6,24.0,27.0,77.0
2010,24,1,3,22.2,25.4,32.4,55.0
2010,24,2,3,22.4,25.0,30.6,62.0
2010,24,3,3,20.5,24.0,31.0,54.0
2010,24,4,3,22.1,24.4,29.2,66.0
2010,24,5,3,21.0,24.0,30.0,59.0
2010,24,6,3,20.7,23.4,28.8,62.0
2010,24,7,3,17.2,21.8,29.8,47.0
2010,24,8,3,15.5,21.4,31.0,39.0
2010,24,9,3,15.1,22.0,33.4,33.0
2010,24,10,3,18.0,23.6,34.0,39.0
2010,24,11,3,18.0,24.0,35.2,36.0
2010,24,12,3,18.0,24.0,35.2,36.0
2010,24,13,3,16.8,24.0,37.0,31.0
2010,24,14,3,22.9,25.8,32.2,58.0
2010,24,15,3,21.4,24.6,31.2,56.0
2010,24,16,3,20.7,24.0,30.6,56.0
2010,24,17,3,22.9,25.4,30.8,63.0
2010,24,18,3,17.5,23.6,34.8,36.0
2010,24,19,3,21.9,26.0,35.0,47.0
2010,24,20,3,21.6,25.4,33.4,50.0
2010,24,21,3,23.7,26.6,33.4,57.0
2010,24,22,3,9.3,20.6,36.0,20.0
2010,24,23,3,12.4,21.0,33.8,27.0
2010,24,24,3,22.7,25.4,31.4,60.0
2010,24,25,3,23.0,25.6,31.4,61.0
